en	ai_tech	AI makeup try-on
en	ai_tech	what makeup suits me
en	core	personal color analysis
en	ai_tech	before and after makeup
en	tutorial	makeup tutorial for beginners
en	scenario	office makeup look
en	scenario	nighttime makeup look
en	scenario	work makeup tutorial
en	demographic	makeup for oval face
en	demographic	makeup for square face
en	demographic	makeup for heart shaped face
en	demographic	contouring for face shape
en	tutorial	how to apply makeup step by step
en	ai_tech	what makeup looks good on me
en	ai_tech	virtual makeover
en	product	best lipstick 2026
en	product	makeup brushes for beginners
de	ai_tech	KI Make-up Test
de	ai_tech	welches Make-up passt zu mir
de	ai_tech	Farbsaison bestimmen
de	core	Make-up Vorher-Nachher
de	tutorial	Make-up für Anfänger
fr	ai_tech	test maquillage virtuel
fr	ai_tech	quel maquillage pour moi
fr	core	diagnostic teint
fr	core	avant après maquillage
fr	tutorial	maquillage pour débutantes
fr	scenario	maquillage entretien d'embauche
fr	scenario	maquillage soirée
fr	demographic	maquillage peau sensible
fr	demographic	quelle couleur me va
fr	tutorial	apprendre à se maquiller
fr	product	rouge à lèvres longue tenue
fr	product	dupes maquillage
ja	ai_tech	AIメイク診断
ja	demographic	似合うメイク
ja	ai_tech	パーソナルカラー診断
ja	ai_tech	ビフォアアフターメイク
ja	tutorial	メイク 初心者
ja	scenario	卒業式メイク
ja	scenario	パーティーメイク
ja	demographic	イエベ メイク
ja	demographic	ブルベ メイク
ja	demographic	丸顔 メイク
ja	demographic	面長 メイク
ja	demographic	奥二重 メイク
ja	demographic	40代 メイク
ja	demographic	パーソナルカラー
ja	tutorial	メイクの基本
ja	tutorial	メイクのコツ
ja	tutorial	アイメイク やり方
ko	ai_tech	AI 메이크업 진단
ko	ai_tech	나에게 어울리는 메이크업
ko	core	퍼스널컬러 진단
ko	ai_tech	비포 애프터 메이크업
ko	tutorial	메이크업 초보
ko	demographic	퍼스널컬러 메이크업
ko	demographic	웜톤 메이크업
ko	demographic	웜톤 립
ko	ai_tech	퍼스널컬러 테스트
ko	product	올리브영 추천
ko	product	립글로스 추천
ko	product	쿠션 파데 추천
ko	product	아이섀도우 팔레트 추천
zh-TW	ai_tech	AI 妝容診斷
zh-TW	ai_tech	什麼妝適合我
zh-TW	ai_tech	個人色彩診斷
zh-TW	ai_tech	妝前妝後對比
zh-TW	tutorial	新手化妝教學
zh-TW	product	開架口紅推薦
zh-TW	product	寶雅口紅
zh-TW	product	不沾杯口紅
es	ai_tech	prueba de maquillaje virtual
es	ai_tech	qué maquillaje me queda
es	ai_tech	análisis de color personal
es	ai_tech	antes y después maquillaje
es	tutorial	maquillaje para principiantes
es	scenario	maquillaje para fiesta
es	demographic	maquillaje para cara redonda
es	demographic	maquillaje para piel morena
es	demographic	maquillaje para piel seca
es	demographic	maquillaje para ojos pequeños
es	demographic	maquillaje para párpados caídos
es	tutorial	orden de maquillaje
es	tutorial	maquillaje natural para principiantes
es	tutorial	maquillaje de ojos fácil
es	tutorial	maquillaje fácil y rápido
es	product	rubor en crema
pt-BR	ai_tech	teste de maquiagem virtual
pt-BR	ai_tech	qual maquiagem combina comigo
pt-BR	demographic	colorimetria pessoal
pt-BR	ai_tech	antes e depois maquiagem
pt-BR	tutorial	maquiagem para iniciantes
pt-BR	scenario	maquiagem para o trabalho
pt-BR	scenario	maquiagem para entrevista de emprego
pt-BR	scenario	maquiagem para fotos
pt-BR	scenario	maquiagem rápida
pt-BR	scenario	maquiagem para balada
pt-BR	scenario	make para o dia
pt-BR	demographic	maquiagem para rosto redondo
pt-BR	demographic	maquiagem para rosto oval
pt-BR	demographic	maquiagem para pele oleosa
pt-BR	demographic	maquiagem para pele clara
pt-BR	demographic	batom para pele morena
pt-BR	demographic	batom para pele clara
