phase,lang,url,action,primaryKeyword,clusterKeywords,clusterSearchVolume,primarySearchVolume,primaryKd,maxKd,cpcMax,demandGate,intent,pageJob,conversion,implementation
P0,ja,/ja/for/パーソナルカラー,create-or-repurpose,パーソナルカラー診断,パーソナルカラー診断 | パーソナルカラー | パーソナルカラー 診断 無料 | 似合う色 診断,360500,301000,2,32,0.94,standalone-ok,color-diagnosis,Move this intent away from pricing and make it a diagnosis landing page.,写真で似合う色を確認,src/i18n/localizedSeoPages.ts
P0,ja,/ja/for/顔タイプ,create-page,顔タイプ診断,顔タイプ診断 | 顔タイプ 診断 AI | 似合うメイク 診断,143500,135000,3,8,0.74,standalone-ok,face-diagnosis,"Explain face-type diagnosis, then route to AI makeup recommendations.",顔タイプでメイクを見る,src/i18n/localizedSeoPages.ts
P0,ja,/ja/for/一重,create-page,一重 メイク,一重 メイク | 奥二重 メイク | 涙袋メイク,34600,12100,0,0,0.21,standalone-ok,eye-shape-solution,Group eye-shape makeup under a preview-first feature page.,目元メイクを試す,src/i18n/localizedSeoPages.ts
P0,ja,/ja/guides/順番,optimize-existing,メイク 順番,メイク 順番 | メイクのやり方 | メイクの基本,26400,22200,0,0,0.51,standalone-ok,beginner-process,Own makeup-order demand and turn it into a repeatable routine.,自分の手順を試す,src/i18n/localizedSeoPages.ts
P0,en,/for/hooded-eyes,optimize-existing,makeup for hooded eyes,makeup for hooded eyes | best mascara for hooded eyes,15060,14800,0,0,2.5,standalone-ok,face-feature-solution,Show specific techniques and invite users to preview them on their own eyes.,Try this look on your face,src/pages/for/hooded-eyes.astro
P0,pt-BR,/pt-br/scenarios/formatura,create-page,maquiagem para formatura,maquiagem para formatura,14800,14800,0,0,0.14,standalone-ok,event-scenario,High-demand event page with camera and longevity guidance.,Testar look de formatura,src/i18n/localizedSeoPagesPhase4.ts
P0,ko,/ko/for/퍼스널컬러,optimize-existing,퍼스널컬러 자가진단,퍼스널컬러 자가진단 | 퍼스널컬러 테스트,8200,6600,0,0,1.07,standalone-ok,color-diagnosis,"Use the personal-color feature page as the real diagnosis entry, not pricing.",셀피로 퍼스널컬러 확인,src/i18n/localizedSeoPagesPhase3.ts
P0,pt-BR,/pt-br/for/colorimetria,create-page,colorimetria pessoal,colorimetria pessoal | cartela de cores pessoal,6700,5400,0,0,0.29,standalone-ok,color-diagnosis,Convert colorimetry demand into AI color and makeup recommendations.,Descobrir minha cartela,src/i18n/localizedSeoPagesPhase4.ts
P0,en,/ai-makeup-try-on,optimize-existing,what makeup looks good on me,what makeup looks good on me | what makeup suits me | AI makeup app | AI makeup try-on | virtual makeover | before and after makeup,3060,260,0,23,4.77,standalone-ok,self-diagnosis-to-try-on,"Upload a selfie, answer what makeup fits my face, and start a try-on.",Free try-on CTA + diagnosis save CTA,src/pages/ai-makeup-try-on.astro
P1,en,/looks/natural-makeup,optimize-existing,natural makeup look,natural makeup look | how to do natural makeup,22590,22200,4,9,1.77,standalone-ok,style-planning,Turn broad natural makeup demand into a personalized look selector.,Preview natural looks,src/pages/looks/natural-makeup.astro
P1,pt-BR,/pt-br/guides/passo-a-passo,optimize-existing,maquiagem passo a passo,maquiagem passo a passo | ordem da maquiagem | como se maquiar,10700,5400,0,1,0.27,standalone-ok,beginner-process,Own routine and order searches with practical workflow.,Montar minha rotina,src/i18n/localizedSeoPagesPhase4.ts
P1,zh-TW,/zh-tw/guides/步驟,optimize-existing,化妝步驟,化妝步驟 | 化妝順序 | 新手化妝教學,7110,5400,0,0,1.1,standalone-ok,beginner-process,Own makeup-order demand and route users to try-on.,用我的臉預覽流程,src/i18n/localizedSeoPagesPhase3.ts
P1,ja,/ja/scenarios/証明写真,optimize-existing,証明写真メイク,証明写真メイク | 写真映えメイク | 面接メイク,6620,4400,0,0,0.4,standalone-ok,photo-scenario,Make camera-safe makeup actionable with before/after examples.,写真用メイクを確認,src/i18n/localizedSeoPages.ts
P1,es,/es/scenarios/dia,create-page,maquillaje de día,maquillaje de día | maquillaje natural,6280,880,0,2,0.86,standalone-ok,daily-scenario,Own daytime makeup demand and route users to natural and glow previews.,Probar look de día,src/i18n/localizedSeoPagesPhase4.ts
P1,pt-BR,/pt-br/for/pele-morena,create-page,maquiagem para pele morena,maquiagem para pele morena | batom para pele morena,6280,5400,0,0,0.21,standalone-ok,skin-tone-solution,Build a skin-tone color page with lipstick and try-on bridge.,Ver cores para minha pele,src/i18n/localizedSeoPagesPhase4.ts
P1,es,/es/looks/maquillaje-natural,optimize-existing,maquillaje natural,maquillaje natural | maquillaje nude,5720,5400,2,2,0.86,standalone-ok,style-planning,Own broad natural makeup demand and bridge to virtual try-on.,Probar maquillaje natural,src/i18n/localizedSeoPagesPhase4.ts
P1,en,/for/mature-skin,optimize-existing,makeup for mature skin,makeup for mature skin,5400,5400,0,0,4.71,standalone-ok,demographic-solution,Reduce texture-heavy mistakes and preview lighter finishes.,Preview mature-skin friendly looks,src/pages/for/mature-skin.astro
P1,en,/for/olive-skin,optimize-existing,makeup for olive skin tone,makeup for olive skin tone,5400,5400,0,0,2.58,standalone-ok,undertone-solution,Help users choose colors that do not turn grey or orange.,Find my undertone colors,src/pages/for/olive-skin.astro
P1,fr,/fr/scenarios/mariage,create-page,maquillage invité mariage,maquillage invité mariage | maquillage mariée,5200,1600,0,0,0.49,standalone-ok,wedding-scenario,Build wedding-intent content with camera and lighting guidance.,Prévisualiser le look,src/i18n/localizedSeoPages.ts
P1,de,/de/scenarios/braut,create-page,Braut Make-up,Braut Make-up | Hochzeit Make-up Gast,4410,4400,,,3.09,standalone-ok,wedding-scenario,Create a wedding makeup page separate from guest makeup.,Hochzeitslook testen,src/i18n/localizedSeoPages.ts
P1,pt-BR,/pt-br/scenarios/casamento-convidada,optimize-existing,maquiagem para casamento convidada,maquiagem para casamento convidada,4400,4400,0,0,0.32,standalone-ok,wedding-scenario,Improve existing guest page around the confirmed high-volume query.,Testar look de casamento,src/i18n/localizedSeoPagesPhase4.ts
P1,en,/guides/apply-step-by-step,optimize-existing,makeup order of application,makeup order of application | how to apply makeup step by step,4000,2400,1,1,1.06,standalone-ok,beginner-process,"Explain sequence, then send users to try the final look.",Build my routine,src/pages/guides/apply-step-by-step.astro
P1,fr,/fr/looks/maquillage-naturel,optimize-existing,maquillage naturel,maquillage naturel | maquillage nude,3700,2400,0,0,2.09,standalone-ok,style-planning,Convert natural/nude makeup search into a face-specific preview.,Essayer un rendu naturel,src/i18n/localizedSeoPages.ts
P1,pt-BR,/pt-br/for/pele-madura,optimize-existing,maquiagem para pele madura,maquiagem para pele madura,2900,2900,0,0,0.59,standalone-ok,skin-type-solution,Make mature-skin makeup visual and previewable.,Comparar acabamento,src/i18n/localizedSeoPagesPhase4.ts
P1,ja,/ja,optimize-existing,AIメイク診断,AIメイク診断 | 肌診断 AI | バーチャルメイク,1890,720,5,11,2.05,standalone-ok,ai-diagnosis,Make the homepage a clear AI diagnosis and try-on entry.,無料で診断する,src/locales/ja.json
P1,en,/scenarios/passport-photo,optimize-existing,passport photo makeup,passport photo makeup | interview makeup,1780,1300,6,6,,standalone-ok,photo-scenario,Make camera-safe makeup practical and previewable.,Check it on my selfie,src/pages/scenarios/passport-photo.astro
P1,de,/de/for/reife-haut,optimize-existing,Make-up für reife Haut,Make-up für reife Haut,1600,1600,0,0,1.06,standalone-ok,demographic-solution,Show lighter texture choices and AI preview for mature skin.,Look auf meinem Gesicht testen,src/i18n/localizedSeoPages.ts
P1,de,/de/for/hauttyp-bestimmen,optimize-existing,welche Farbe steht mir,welche Farbe steht mir | Unterton Haut bestimmen | welches Make-up passt zu mir | Hautanalyse KI,1350,590,0,13,2.24,standalone-ok,color-diagnosis,Turn color/undertone searches into diagnosis and saved recommendations.,Farben mit Selfie prüfen,src/i18n/localizedSeoPages.ts
P1,fr,/fr/for/paupieres-tombantes,optimize-existing,maquillage pour paupières tombantes,maquillage pour paupières tombantes,1000,1000,0,0,0.26,standalone-ok,face-feature-solution,Solve hooded-eye placement and send to try-on.,Tester sur mes yeux,src/i18n/localizedSeoPages.ts
P1,es,/es/guides/paso-a-paso,optimize-existing,maquillaje paso a paso,maquillaje paso a paso | orden de maquillaje | maquillaje para principiantes | maquillaje fácil y rápido,1000,480,5,7,0.8,standalone-ok,beginner-process,Own beginner process demand and convert to routine preview.,Crear mi rutina,src/i18n/localizedSeoPagesPhase4.ts
P1,es,/es/scenarios/noche,create-page,maquillaje de noche,maquillaje de noche | maquillaje para fiesta,700,590,0,0,0.63,standalone-ok,event-scenario,Turn night and party makeup demand into camera-safe try-on decisions.,Probar look de noche,src/i18n/localizedSeoPagesPhase4.ts
P1,de,/de/tutorial,optimize-existing,Make-up für Anfänger,Make-up für Anfänger | Grundausstattung Make-up,650,480,0,0,0.8,standalone-ok,beginner-process,Teach a simple routine and route users into try-on.,Meine Routine testen,src/i18n/localizedSeoPages.ts
P1,es,/es/looks/piel-luminosa,optimize-existing,maquillaje glow,maquillaje glow | piel luminosa,560,390,0,0,0.41,standalone-ok,style-planning,Own glow makeup demand while explaining oil-control boundaries.,Comparar glow en mi piel,src/i18n/localizedSeoPagesPhase4.ts
P1,ko,/ko/for/웜톤,optimize-existing,봄웜 메이크업,봄웜 메이크업 | 쿨톤 메이크업 | 웜톤 메이크업,540,260,0,0,0.68,standalone-ok,undertone-solution,Own warm/cool tone makeup searches with a try-on bridge.,톤별 컬러 비교,src/i18n/localizedSeoPagesPhase3.ts
P1,ko,/ko/membership,optimize-existing,얼굴형 분석,얼굴형 분석 | AI 피부 분석,530,390,0,0,8.64,standalone-ok,face-skin-analysis,Route analysis searches into personalized recommendations.,얼굴형으로 룩 보기,src/i18n/localizedSeoPagesPhase3.ts
P1,fr,/fr/for/peau-mature,optimize-existing,maquillage peau mature,maquillage peau mature | maquillage peau sensible,460,320,0,0,1.23,standalone-ok,demographic-solution,Recommend texture-light looks for mature/sensitive skin.,Comparer les rendus,src/i18n/localizedSeoPages.ts
P1,zh-TW,/zh-tw/for/個人色彩,optimize-existing,個人色彩,個人色彩 | 個人色彩診斷,460,390,0,0,0.31,standalone-ok,color-diagnosis,Connect color diagnosis to lipstick/blush recommendations.,查看適合我的顏色,src/i18n/localizedSeoPagesPhase3.ts
P1,es,/es/scenarios/graduacion,create-page,maquillaje para graduación,maquillaje para graduación | maquillaje para fiesta,280,170,0,0,0.91,needs-review,event-scenario,Event page with photo-safe makeup and try-on CTA.,Probar look de evento,src/i18n/localizedSeoPagesPhase4.ts
P1,es,/es/for/piel-grasa,create-page,maquillaje para piel grasa,maquillaje para piel grasa | maquillaje mate,260,260,0,0,0.4,needs-review,skin-type-solution,Separate oily-skin intent from mature-skin advice and route to matte/glow comparisons.,Ver acabado para piel grasa,src/i18n/localizedSeoPagesPhase4.ts
P1,ko,/ko/guides/메이크업-순서,optimize-existing,메이크업 순서,메이크업 순서,210,210,0,0,,needs-review,beginner-process,Turn routine questions into a stable beginner workflow.,내 루틴으로 미리보기,src/i18n/localizedSeoPagesPhase3.ts
P1,es,/es/for/piel-madura,optimize-existing,maquillaje para piel madura,maquillaje para piel madura,210,210,0,0,0.48,needs-review,skin-type-solution,Make skin-type advice visual and personalized.,Comparar acabado en mi piel,src/i18n/localizedSeoPagesPhase4.ts
P2,zh-TW,/zh-tw/for/適合我,module-only,開架口紅推薦,開架口紅推薦 | 不沾杯口紅 | 寶雅口紅,920,210,0,0,0.33,standalone-ok,product-research,"Use as product-choice modules under color diagnosis, not doorway pages.",用膚色挑口紅,src/i18n/localizedSeoPagesPhase3.ts
